Response_ID,Event_Name,Department,Year,Overall_Rating,Content_Rating,Organization_Rating,Speaker_Rating,Would_Recommend,Feedback_Text,Sentiment_Score,Sentiment_Label
276,Tech Fest,ECE,3rd Year,2,1,2,1,No,The event was very informative and well organized.,0.2,Positive
277,Sports Meet,CE,Final Year,5,5,3,1,No,"Loved the event, very engaging and useful.",0.506666667,Positive
278,Sports Meet,MBA,2nd Year,1,5,4,5,No,Not satisfied with the arrangements.,-0.25,Negative
279,Tech Fest,CSE,Final Year,1,1,2,3,Yes,Excellent speakers and great content.,0.9,Positive
280,Workshop,CE,2nd Year,1,1,2,1,No,Poor management but topic was interesting.,0.05,Neutral
281,Tech Fest,EE,Final Year,2,5,5,5,No,"Average event, expected more interaction.",0.083333333,Neutral
282,Tech Fest,CE,Final Year,1,5,2,3,No,Good experience but could be improved.,0.7,Positive
283,Sports Meet,ME,1st Year,4,3,1,2,No,Poor management but topic was interesting.,0.05,Neutral
284,Seminar,CSE,2nd Year,3,5,1,3,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
285,Sports Meet,MBA,2nd Year,4,5,3,2,Yes,Excellent speakers and great content.,0.9,Positive
286,Sports Meet,ME,3rd Year,2,2,3,2,Yes,The event was very informative and well organized.,0.2,Positive
287,Cultural Fest,ECE,Final Year,2,4,4,3,Yes,The event was very informative and well organized.,0.2,Positive
288,Tech Fest,CE,Final Year,1,3,4,3,No,Poor management but topic was interesting.,0.05,Neutral
289,Sports Meet,CE,3rd Year,5,3,5,5,No,"Average event, expected more interaction.",0.083333333,Neutral
290,Tech Fest,ECE,2nd Year,4,1,3,3,No,Poor management but topic was interesting.,0.05,Neutral
291,Cultural Fest,ME,Final Year,2,2,5,4,Yes,Not satisfied with the arrangements.,-0.25,Negative
292,Tech Fest,CSE,3rd Year,3,4,4,1,No,Good experience but could be improved.,0.7,Positive
293,Sports Meet,MBA,3rd Year,2,3,2,3,No,The event was very informative and well organized.,0.2,Positive
294,Tech Fest,ME,3rd Year,4,5,5,2,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
295,Cultural Fest,EE,Final Year,3,5,2,2,No,Poor management but topic was interesting.,0.05,Neutral
296,Seminar,MBA,2nd Year,3,5,5,3,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
297,Tech Fest,ME,2nd Year,1,4,5,1,Yes,Good experience but could be improved.,0.7,Positive
298,Sports Meet,CSE,3rd Year,5,3,4,1,Yes,The event was very informative and well organized.,0.2,Positive
299,Cultural Fest,CE,3rd Year,3,4,5,5,No,Good experience but could be improved.,0.7,Positive
300,Sports Meet,ME,2nd Year,1,1,4,5,No,Overall a decent experience.,0.083333333,Neutral
301,Sports Meet,ECE,3rd Year,5,1,5,5,Yes,Poor management but topic was interesting.,0.05,Neutral
302,Tech Fest,CSE,3rd Year,1,2,5,1,No,The event was very informative and well organized.,0.2,Positive
303,Sports Meet,CE,2nd Year,2,1,3,2,No,Overall a decent experience.,0.083333333,Neutral
304,Tech Fest,CSE,Final Year,2,3,3,5,No,"Loved the event, very engaging and useful.",0.506666667,Positive
305,Seminar,MBA,3rd Year,5,3,4,3,No,"Average event, expected more interaction.",0.083333333,Neutral
306,Sports Meet,ECE,Final Year,1,3,5,5,No,"Average event, expected more interaction.",0.083333333,Neutral
307,Sports Meet,MBA,3rd Year,4,5,2,3,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
308,Sports Meet,MBA,3rd Year,1,5,1,3,No,Poor management but topic was interesting.,0.05,Neutral
309,Workshop,EE,3rd Year,4,3,4,2,Yes,Poor management but topic was interesting.,0.05,Neutral
310,Workshop,CSE,1st Year,3,1,3,3,No,Excellent speakers and great content.,0.9,Positive
311,Cultural Fest,CSE,Final Year,3,1,3,5,Yes,Not satisfied with the arrangements.,-0.25,Negative
312,Workshop,ME,Final Year,3,2,4,2,Yes,"Average event, expected more interaction.",0.083333333,Neutral
313,Cultural Fest,ECE,3rd Year,1,4,3,2,Yes,Good experience but could be improved.,0.7,Positive
314,Workshop,ECE,2nd Year,5,2,2,1,No,"Loved the event, very engaging and useful.",0.506666667,Positive
315,Seminar,EE,3rd Year,4,4,3,3,No,"Average event, expected more interaction.",0.083333333,Neutral
316,Cultural Fest,ECE,1st Year,1,1,1,5,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
317,Workshop,CSE,3rd Year,3,3,1,3,No,Overall a decent experience.,0.083333333,Neutral
318,Seminar,EE,1st Year,2,5,5,5,Yes,Good experience but could be improved.,0.7,Positive
319,Workshop,ECE,3rd Year,3,2,2,4,Yes,Excellent speakers and great content.,0.9,Positive
320,Tech Fest,EE,Final Year,5,2,3,1,No,Not satisfied with the arrangements.,-0.25,Negative
321,Tech Fest,ECE,3rd Year,3,1,3,2,No,Not satisfied with the arrangements.,-0.25,Negative
322,Seminar,ECE,Final Year,5,4,4,1,No,Good experience but could be improved.,0.7,Positive
323,Sports Meet,ME,2nd Year,2,2,5,4,No,Good experience but could be improved.,0.7,Positive
324,Sports Meet,ECE,2nd Year,4,4,1,1,Yes,The event was very informative and well organized.,0.2,Positive
325,Tech Fest,EE,3rd Year,3,2,4,1,No,Not satisfied with the arrangements.,-0.25,Negative
326,Tech Fest,CSE,3rd Year,5,3,4,4,No,Excellent speakers and great content.,0.9,Positive
327,Sports Meet,ME,2nd Year,4,1,3,1,Yes,Overall a decent experience.,0.083333333,Neutral
328,Cultural Fest,ECE,1st Year,2,4,1,1,Yes,"Average event, expected more interaction.",0.083333333,Neutral
329,Sports Meet,ECE,2nd Year,5,1,4,4,Yes,Overall a decent experience.,0.083333333,Neutral
330,Workshop,EE,2nd Year,2,5,3,4,Yes,Good experience but could be improved.,0.7,Positive
331,Cultural Fest,ME,1st Year,2,1,5,2,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
332,Workshop,ECE,2nd Year,1,4,2,5,No,Not satisfied with the arrangements.,-0.25,Negative
333,Tech Fest,CSE,2nd Year,4,4,1,5,No,Not satisfied with the arrangements.,-0.25,Negative
334,Cultural Fest,MBA,1st Year,1,5,5,4,No,Poor management but topic was interesting.,0.05,Neutral
335,Workshop,CSE,1st Year,2,5,3,5,No,Overall a decent experience.,0.083333333,Neutral
336,Workshop,ECE,Final Year,5,2,2,3,No,Not satisfied with the arrangements.,-0.25,Negative
337,Cultural Fest,CSE,3rd Year,3,4,4,3,Yes,Overall a decent experience.,0.083333333,Neutral
338,Seminar,ME,Final Year,1,1,5,3,No,Overall a decent experience.,0.083333333,Neutral
339,Sports Meet,ECE,1st Year,3,5,4,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
340,Workshop,EE,2nd Year,1,1,4,5,Yes,Excellent speakers and great content.,0.9,Positive
341,Sports Meet,ME,1st Year,4,5,2,1,Yes,Excellent speakers and great content.,0.9,Positive
342,Sports Meet,CSE,2nd Year,3,4,2,4,No,Excellent speakers and great content.,0.9,Positive
343,Tech Fest,ECE,Final Year,1,5,4,5,No,Overall a decent experience.,0.083333333,Neutral
344,Sports Meet,ME,Final Year,2,4,4,2,No,Overall a decent experience.,0.083333333,Neutral
345,Workshop,CSE,Final Year,5,5,2,1,No,Excellent speakers and great content.,0.9,Positive
346,Tech Fest,ECE,2nd Year,2,2,3,4,No,Good experience but could be improved.,0.7,Positive
347,Cultural Fest,MBA,3rd Year,4,5,1,1,Yes,"Average event, expected more interaction.",0.083333333,Neutral
348,Workshop,CE,3rd Year,4,2,4,4,Yes,Overall a decent experience.,0.083333333,Neutral
349,Tech Fest,EE,3rd Year,1,2,2,3,Yes,Overall a decent experience.,0.083333333,Neutral
350,Tech Fest,CSE,1st Year,2,1,5,4,Yes,The event was very informative and well organized.,0.2,Positive
351,Sports Meet,MBA,1st Year,3,4,5,4,Yes,Excellent speakers and great content.,0.9,Positive
352,Cultural Fest,CSE,2nd Year,1,5,3,2,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
353,Workshop,CE,1st Year,1,5,3,2,Yes,Good experience but could be improved.,0.7,Positive
354,Workshop,CE,2nd Year,2,3,5,2,No,Not satisfied with the arrangements.,-0.25,Negative
355,Sports Meet,ME,Final Year,5,5,3,5,No,Good experience but could be improved.,0.7,Positive
356,Cultural Fest,EE,2nd Year,4,4,4,3,Yes,Good experience but could be improved.,0.7,Positive
357,Workshop,EE,1st Year,3,4,2,3,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
358,Cultural Fest,CSE,Final Year,4,5,1,4,Yes,Poor management but topic was interesting.,0.05,Neutral
359,Workshop,CE,Final Year,1,2,2,2,Yes,The event was very informative and well organized.,0.2,Positive
360,Sports Meet,EE,2nd Year,5,3,2,3,No,Excellent speakers and great content.,0.9,Positive
361,Seminar,ECE,3rd Year,1,4,3,3,No,Good experience but could be improved.,0.7,Positive
362,Workshop,EE,1st Year,5,3,1,4,No,"Loved the event, very engaging and useful.",0.506666667,Positive
363,Tech Fest,CSE,1st Year,2,3,4,4,No,Poor management but topic was interesting.,0.05,Neutral
364,Tech Fest,MBA,3rd Year,4,4,5,1,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
365,Seminar,MBA,1st Year,1,2,4,1,No,Poor management but topic was interesting.,0.05,Neutral
366,Workshop,EE,3rd Year,5,2,3,4,No,Poor management but topic was interesting.,0.05,Neutral
367,Tech Fest,ME,3rd Year,5,4,5,1,Yes,Overall a decent experience.,0.083333333,Neutral
368,Tech Fest,CE,Final Year,1,5,4,3,No,The event was very informative and well organized.,0.2,Positive
369,Workshop,MBA,Final Year,4,5,2,4,Yes,Excellent speakers and great content.,0.9,Positive
370,Cultural Fest,CSE,2nd Year,2,3,3,4,Yes,Excellent speakers and great content.,0.9,Positive
371,Workshop,CSE,Final Year,2,5,1,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
372,Cultural Fest,CE,3rd Year,3,3,2,3,Yes,The event was very informative and well organized.,0.2,Positive
373,Seminar,CE,2nd Year,3,5,1,3,Yes,Poor management but topic was interesting.,0.05,Neutral
374,Sports Meet,CE,1st Year,3,2,5,5,Yes,Poor management but topic was interesting.,0.05,Neutral
375,Seminar,MBA,3rd Year,4,2,1,5,No,"Average event, expected more interaction.",0.083333333,Neutral
376,Sports Meet,CSE,2nd Year,3,2,2,2,Yes,Excellent speakers and great content.,0.9,Positive
377,Tech Fest,CE,Final Year,3,5,1,5,Yes,Overall a decent experience.,0.083333333,Neutral
378,Tech Fest,MBA,3rd Year,4,3,3,1,Yes,The event was very informative and well organized.,0.2,Positive
379,Tech Fest,CE,2nd Year,3,3,3,4,Yes,Good experience but could be improved.,0.7,Positive
380,Cultural Fest,CSE,1st Year,2,2,2,1,No,"Loved the event, very engaging and useful.",0.506666667,Positive
381,Sports Meet,CSE,3rd Year,1,2,4,3,Yes,Good experience but could be improved.,0.7,Positive
382,Tech Fest,ME,3rd Year,2,5,1,5,Yes,The event was very informative and well organized.,0.2,Positive
383,Workshop,EE,2nd Year,2,5,2,1,Yes,Not satisfied with the arrangements.,-0.25,Negative
384,Sports Meet,ECE,2nd Year,5,3,1,3,No,Overall a decent experience.,0.083333333,Neutral
385,Sports Meet,CSE,Final Year,1,1,2,5,No,Poor management but topic was interesting.,0.05,Neutral
386,Cultural Fest,ECE,Final Year,2,3,1,4,Yes,Overall a decent experience.,0.083333333,Neutral
387,Seminar,ME,3rd Year,1,5,4,4,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
388,Cultural Fest,EE,1st Year,2,4,2,5,Yes,Not satisfied with the arrangements.,-0.25,Negative
389,Tech Fest,MBA,Final Year,4,5,3,4,Yes,Overall a decent experience.,0.083333333,Neutral
390,Workshop,EE,1st Year,4,5,4,2,Yes,Excellent speakers and great content.,0.9,Positive
391,Workshop,EE,2nd Year,3,4,3,5,No,Excellent speakers and great content.,0.9,Positive
392,Tech Fest,MBA,2nd Year,4,5,4,2,Yes,Overall a decent experience.,0.083333333,Neutral
393,Workshop,ME,Final Year,1,3,3,5,No,Overall a decent experience.,0.083333333,Neutral
394,Cultural Fest,CE,3rd Year,5,4,4,2,Yes,Overall a decent experience.,0.083333333,Neutral
395,Cultural Fest,EE,2nd Year,3,1,1,4,Yes,Excellent speakers and great content.,0.9,Positive
396,Tech Fest,EE,1st Year,2,5,3,4,No,"Loved the event, very engaging and useful.",0.506666667,Positive
397,Workshop,ME,3rd Year,4,1,1,1,Yes,Good experience but could be improved.,0.7,Positive
398,Sports Meet,CE,Final Year,3,1,2,3,Yes,Not satisfied with the arrangements.,-0.25,Negative
399,Seminar,EE,2nd Year,4,4,1,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
400,Sports Meet,EE,Final Year,3,2,3,5,Yes,"Average event, expected more interaction.",0.083333333,Neutral
401,Cultural Fest,CE,3rd Year,1,1,4,4,Yes,Not satisfied with the arrangements.,-0.25,Negative
402,Cultural Fest,CSE,3rd Year,1,1,1,4,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
403,Cultural Fest,MBA,3rd Year,2,2,5,5,No,The event was very informative and well organized.,0.2,Positive
404,Cultural Fest,CSE,1st Year,3,3,4,3,Yes,Overall a decent experience.,0.083333333,Neutral
405,Seminar,MBA,3rd Year,5,2,2,5,Yes,Poor management but topic was interesting.,0.05,Neutral
406,Tech Fest,MBA,3rd Year,1,3,2,2,Yes,Good experience but could be improved.,0.7,Positive
407,Cultural Fest,EE,2nd Year,2,3,3,2,No,Excellent speakers and great content.,0.9,Positive
408,Workshop,MBA,1st Year,3,2,4,1,No,The event was very informative and well organized.,0.2,Positive
409,Seminar,ECE,1st Year,2,1,1,5,No,Poor management but topic was interesting.,0.05,Neutral
410,Cultural Fest,CE,Final Year,1,3,1,4,Yes,Good experience but could be improved.,0.7,Positive
411,Workshop,CE,3rd Year,2,2,2,1,Yes,Good experience but could be improved.,0.7,Positive
412,Cultural Fest,ECE,2nd Year,3,5,4,5,Yes,"Average event, expected more interaction.",0.083333333,Neutral
413,Tech Fest,CE,Final Year,4,1,4,5,Yes,The event was very informative and well organized.,0.2,Positive
414,Seminar,ME,3rd Year,5,3,2,4,Yes,"Average event, expected more interaction.",0.083333333,Neutral
415,Tech Fest,CE,1st Year,1,4,1,3,Yes,Overall a decent experience.,0.083333333,Neutral
416,Seminar,CE,3rd Year,3,1,2,5,Yes,The event was very informative and well organized.,0.2,Positive
417,Cultural Fest,CE,3rd Year,3,5,4,1,No,Good experience but could be improved.,0.7,Positive
418,Cultural Fest,MBA,2nd Year,2,5,1,4,Yes,Excellent speakers and great content.,0.9,Positive
419,Seminar,CSE,2nd Year,1,2,5,2,Yes,The event was very informative and well organized.,0.2,Positive
420,Workshop,ME,2nd Year,4,5,2,3,Yes,Poor management but topic was interesting.,0.05,Neutral
421,Workshop,CE,Final Year,4,4,4,4,Yes,"Average event, expected more interaction.",0.083333333,Neutral
422,Cultural Fest,ME,2nd Year,5,2,4,1,No,"Average event, expected more interaction.",0.083333333,Neutral
423,Cultural Fest,MBA,Final Year,5,5,3,5,No,Overall a decent experience.,0.083333333,Neutral
424,Tech Fest,ME,3rd Year,2,3,3,1,Yes,Good experience but could be improved.,0.7,Positive
425,Cultural Fest,ME,Final Year,1,1,2,5,No,"Loved the event, very engaging and useful.",0.506666667,Positive
426,Seminar,ECE,Final Year,4,4,1,4,Yes,Not satisfied with the arrangements.,-0.25,Negative
427,Workshop,MBA,2nd Year,1,4,5,3,Yes,The event was very informative and well organized.,0.2,Positive
428,Workshop,CE,2nd Year,2,4,5,4,No,Overall a decent experience.,0.083333333,Neutral
429,Tech Fest,CSE,1st Year,1,3,1,1,No,The event was very informative and well organized.,0.2,Positive
430,Workshop,CSE,Final Year,1,5,3,1,No,"Loved the event, very engaging and useful.",0.506666667,Positive
431,Workshop,CSE,3rd Year,1,1,4,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
432,Sports Meet,CSE,1st Year,2,1,3,2,Yes,Excellent speakers and great content.,0.9,Positive
433,Seminar,CE,1st Year,2,3,2,5,No,Not satisfied with the arrangements.,-0.25,Negative
434,Sports Meet,CSE,1st Year,2,2,3,1,Yes,The event was very informative and well organized.,0.2,Positive
435,Workshop,MBA,2nd Year,4,5,1,2,No,"Loved the event, very engaging and useful.",0.506666667,Positive
436,Tech Fest,MBA,2nd Year,3,4,2,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
437,Tech Fest,ME,2nd Year,1,2,1,4,No,Poor management but topic was interesting.,0.05,Neutral
438,Workshop,ECE,3rd Year,5,3,2,5,Yes,Good experience but could be improved.,0.7,Positive
439,Cultural Fest,EE,Final Year,5,5,4,3,Yes,Good experience but could be improved.,0.7,Positive
440,Sports Meet,CSE,1st Year,3,5,3,4,No,Good experience but could be improved.,0.7,Positive
441,Workshop,EE,2nd Year,1,5,1,5,No,Excellent speakers and great content.,0.9,Positive
442,Tech Fest,EE,Final Year,1,2,2,5,No,Poor management but topic was interesting.,0.05,Neutral
443,Tech Fest,EE,1st Year,1,2,3,4,Yes,Excellent speakers and great content.,0.9,Positive
444,Sports Meet,ME,Final Year,2,3,5,2,Yes,Excellent speakers and great content.,0.9,Positive
445,Seminar,MBA,1st Year,4,4,1,2,No,Poor management but topic was interesting.,0.05,Neutral
446,Workshop,CSE,Final Year,2,2,4,3,No,Good experience but could be improved.,0.7,Positive
447,Workshop,CE,2nd Year,1,1,2,3,Yes,Excellent speakers and great content.,0.9,Positive
448,Seminar,ME,Final Year,3,2,1,5,No,Poor management but topic was interesting.,0.05,Neutral
449,Sports Meet,MBA,Final Year,1,2,1,3,No,Not satisfied with the arrangements.,-0.25,Negative
450,Sports Meet,CE,1st Year,1,5,5,4,No,Excellent speakers and great content.,0.9,Positive
451,Tech Fest,MBA,Final Year,4,1,4,3,No,The event was very informative and well organized.,0.2,Positive
452,Seminar,CSE,3rd Year,1,4,5,1,No,"Loved the event, very engaging and useful.",0.506666667,Positive
453,Sports Meet,ME,1st Year,2,1,2,5,Yes,Excellent speakers and great content.,0.9,Positive
454,Cultural Fest,EE,Final Year,5,4,3,1,No,The event was very informative and well organized.,0.2,Positive
455,Workshop,ME,3rd Year,4,3,1,5,No,The event was very informative and well organized.,0.2,Positive
456,Tech Fest,ME,1st Year,4,5,2,5,No,Poor management but topic was interesting.,0.05,Neutral
457,Seminar,CSE,2nd Year,4,3,2,4,Yes,Not satisfied with the arrangements.,-0.25,Negative
458,Tech Fest,EE,1st Year,1,2,4,2,Yes,Good experience but could be improved.,0.7,Positive
459,Sports Meet,EE,1st Year,4,2,1,3,No,"Loved the event, very engaging and useful.",0.506666667,Positive
460,Sports Meet,ECE,Final Year,4,5,5,1,No,Excellent speakers and great content.,0.9,Positive
461,Cultural Fest,ECE,3rd Year,2,3,3,3,Yes,Not satisfied with the arrangements.,-0.25,Negative
462,Workshop,MBA,1st Year,3,1,1,5,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
463,Seminar,CE,1st Year,2,3,1,1,No,Poor management but topic was interesting.,0.05,Neutral
464,Tech Fest,ECE,1st Year,2,4,3,1,Yes,Not satisfied with the arrangements.,-0.25,Negative
465,Workshop,CSE,Final Year,3,2,2,5,No,Good experience but could be improved.,0.7,Positive
466,Sports Meet,ME,1st Year,3,1,5,3,No,The event was very informative and well organized.,0.2,Positive
467,Workshop,EE,3rd Year,4,2,1,1,Yes,"Average event, expected more interaction.",0.083333333,Neutral
468,Tech Fest,ME,Final Year,2,3,2,3,Yes,"Average event, expected more interaction.",0.083333333,Neutral
469,Workshop,CSE,2nd Year,1,5,4,1,Yes,"Average event, expected more interaction.",0.083333333,Neutral
470,Sports Meet,ME,2nd Year,5,1,2,2,No,Overall a decent experience.,0.083333333,Neutral
471,Workshop,EE,Final Year,5,5,3,4,No,Not satisfied with the arrangements.,-0.25,Negative
472,Seminar,ECE,3rd Year,5,3,5,5,Yes,Good experience but could be improved.,0.7,Positive
473,Workshop,CE,Final Year,2,4,3,4,Yes,Poor management but topic was interesting.,0.05,Neutral
474,Seminar,EE,Final Year,3,5,4,3,Yes,The event was very informative and well organized.,0.2,Positive
475,Workshop,EE,Final Year,4,5,2,4,No,"Loved the event, very engaging and useful.",0.506666667,Positive
476,Sports Meet,EE,Final Year,4,3,1,4,Yes,Overall a decent experience.,0.083333333,Neutral
477,Cultural Fest,MBA,1st Year,5,1,4,4,No,Not satisfied with the arrangements.,-0.25,Negative
478,Cultural Fest,MBA,2nd Year,4,3,3,4,Yes,Good experience but could be improved.,0.7,Positive
479,Seminar,EE,3rd Year,1,5,2,5,No,Overall a decent experience.,0.083333333,Neutral
480,Seminar,CSE,1st Year,1,2,3,2,Yes,The event was very informative and well organized.,0.2,Positive
481,Cultural Fest,EE,2nd Year,3,2,1,2,Yes,Not satisfied with the arrangements.,-0.25,Negative
482,Sports Meet,MBA,Final Year,4,5,4,4,No,"Average event, expected more interaction.",0.083333333,Neutral
483,Sports Meet,MBA,2nd Year,2,1,4,2,No,The event was very informative and well organized.,0.2,Positive
484,Workshop,ME,2nd Year,4,5,5,2,No,Poor management but topic was interesting.,0.05,Neutral
485,Seminar,CSE,1st Year,2,2,3,5,No,Good experience but could be improved.,0.7,Positive
486,Sports Meet,ECE,1st Year,5,4,5,4,No,"Average event, expected more interaction.",0.083333333,Neutral
487,Tech Fest,ME,3rd Year,2,5,4,3,No,Excellent speakers and great content.,0.9,Positive
488,Workshop,MBA,Final Year,5,5,2,4,No,Poor management but topic was interesting.,0.05,Neutral
489,Workshop,ME,Final Year,1,4,5,2,No,Not satisfied with the arrangements.,-0.25,Negative
490,Cultural Fest,ME,Final Year,4,1,2,3,No,Overall a decent experience.,0.083333333,Neutral
491,Seminar,ME,2nd Year,3,3,5,2,No,Good experience but could be improved.,0.7,Positive
492,Sports Meet,CSE,2nd Year,4,2,3,2,Yes,"Average event, expected more interaction.",0.083333333,Neutral
493,Sports Meet,ECE,Final Year,5,2,3,1,No,Excellent speakers and great content.,0.9,Positive
494,Workshop,ECE,3rd Year,4,3,4,1,Yes,"Loved the event, very engaging and useful.",0.506666667,Positive
495,Seminar,EE,2nd Year,3,3,3,1,Yes,Excellent speakers and great content.,0.9,Positive
496,Seminar,MBA,3rd Year,5,3,5,2,No,"Average event, expected more interaction.",0.083333333,Neutral
497,Seminar,CE,2nd Year,5,3,5,4,No,Not satisfied with the arrangements.,-0.25,Negative
498,Cultural Fest,CSE,1st Year,3,2,2,4,No,Overall a decent experience.,0.083333333,Neutral
499,Sports Meet,ECE,1st Year,4,5,1,2,Yes,The event was very informative and well organized.,0.2,Positive
500,Seminar,MBA,Final Year,3,5,5,1,Yes,The event was very informative and well organized.,0.2,Positive
